,id,parentId,proposalId,page,userId,userType,date,time,text,numVotes,numPositiveVotes,numNegativeVotes
26,17277,17234,50,1,287,,2015-09-15,0 days 12:49:52,Una opción muy buena que no generaría peligros en las intersecciones sería limitar el uso de los laterales a bicicletas permitiendo el paso a coches sólo para aparcamientos.,14,11,3
27,17281,-1,86,5,9436,,2015-09-15,0 days 12:54:34,"Totalemente de acuerdo! Yo lo reciclo y cada vez que lleno la garrafa me toca llevarla a un punto limpio específico que me pilla muy lejos de casa y los que son móviles los ponen a unos horarios matinales que a mucha gente nos viene fatal, me suena que esos contenedores para aiceite los hay ya en otros ayuntamientos.",0,0,0
28,17305,-1,7,9,10391,,2015-09-15,0 days 13:10:31,"Algunas calles, por no decir la mayoría, del barrio de Carabanchel están intransitables por la cantidad de basura que se acumula en ellas. Los contenedores de basura existentes siempre están desbordados. Hay que estar pendiente de dónde se pisa porque las cacas de perro están por todas partes. El olor a orines es insoportable. Siento asco y vergüenza de este que ha sido siempre mi barrio y que ha ido deteriorándose a pasos de gigante en los últimos años.",0,0,0
29,17309,-1,7,3,9884,Autor,2015-09-15,0 days 13:12:20,"Señora Carmena: escuche a los ciudadanos la gente ya no habla de papelitos en el suelo, sino de ratas, .",1,1,0
30,17333,-1,7,1,10471,,2015-09-15,0 days 13:22:12,"Además de la obvia necesidad de limpiar las calles a fondo especialmente del centro, que manifiesta un estado lamentable es necesario un plan global que eduque en colegios y barrios, informe en las calles a vecinos, transeúntes y colectivos y, como paso transitorio a la normalización, sancione a quien orine, escupa y defeque en la vía pública, no recoja los excrementos de sus animales y permita que estos orinen en portales y macetas, tire papeles, chicles, colillas o cualquier objeto que ensucie la vía y no participe en el correcto proceso de reciclaje. Lo primero es la concienciación, la información y la educación cívica y medio ambiental pero la situación de Madrid empieza a exigir medidas excepcionales en esta materia.",12,12,0
31,17346,17137,7,3,8294,,2015-09-15,0 days 13:27:49,Una cosa es predicar y otra dar trigo. La demagogia es gratuita. En mi barrio Hortaleza - Santa María hace dosmeses.,0,0,0
32,17348,17137,7,3,8294,,2015-09-15,0 days 13:28:45,Que no se limpia. Foco de infeccionesseguro.,1,0,1
33,17359,17333,7,1,10464,,2015-09-15,0 days 13:32:10,"Totalmente de acuerdo contigo. No es más limpio el que más limpia, si no el que menos ensucia. Yo también viví en el extranjero y a base de multas muy gordas acaba la gente educada, lo cual es una pena pero es así. Hasta que no salga de nosotros mismos el problema de la suciedad lo tendremos siempre. Lo ideal sería vivir sin necesidad de tener un policía y un barrendero detrás de nosotros. Un poquito de conciencia social y sentido común bastaría.",10,10,0
34,17369,-1,7,9,531,,2015-09-15,0 days 13:37:59,Propuesta relacionada: multar por los excrementos de lso perros: .,0,0,0
35,17371,-1,86,2,3449,,2015-09-15,0 days 13:38:26,Creo que sería más fácil aumentar el número de puntos limpios móviles y los horarios de los mismos. No se genera tal cantidad de aceites como para tener que colocar otro contenedor en zonas tan limitadas actualmente.,1,1,0
36,17376,-1,7,9,10633,,2015-09-15,0 days 13:43:10,"Esto es lo más importante, calles limpias. No sería agradable ir a una ciudad tan bonita como Londres y que estuviese lleno de mierda.",0,0,0
37,17391,-1,19,1,426,,2015-09-15,0 days 13:48:44,"Totalmente de acuerdo, el entorno de la Plaza de España con todos sus túneles y la cuesta de San Vicente la convierten en un sitio tremendamente hostil para los peatones y los ciclistas. Es necesario acabar con eso.",2,2,0
38,17441,-1,7,1,9884,Autor,2015-09-15,0 days 14:18:18,"Hay que volverse a sentirse orgulloso de nuestra ciudad, recuperarla, y por muchas cosas que se hagan si no está limpia, lo demás será inútil.",5,5,0
39,17466,-1,7,3,10858,,2015-09-15,0 days 14:33:24,"Es lamentable el estado de las calles en la zona centro de Madrid, por no hablar ya en concreto de Malasaña, donde los vecinos tenemos que convivir rodeados de basura, calles llenas de orín, excrementos no solo de animales de 4 patas vómitos, botellas rotas. Las únicas calles que se limpian son Espítu Santo y Manuela Malasaña. El estado del barrio roza la insalubridad. La gestión en cuanto a limpieza ha sido y sigue siendo más que pésima.",1,1,0
40,17472,-1,7,9,9905,,2015-09-15,0 days 14:39:42,"Ahora Madrid ya puso planes de limpieza urgentes durante el verano, para adelantar los planes de limpieza regulares, para encontrarse con todo tipo de externalizaciones y contratos blindados por el partido anterior. Llevan en ello desde que llegaron. Convendría informarse antes de hacer proponer iniciativas ciudadanas de este calibre.",2,0,2
41,17475,17228,50,1,10919,,2015-09-15,0 days 14:41:55,"Pues yo lo hago a diario y no tengo la sensación de jugarme nada. Prefiero medidas que incidan en hacer menos peligrosa la calzada, como ghacer respetar los límites de velocidad a los coches que que me hagan salir de la calzada a un carril que resulta menos eficaz para desplazarme y mucho más peligroso en las intersecciones.",9,6,3
42,17485,-1,7,9,10929,,2015-09-15,0 days 14:50:53,"Excepcional inversión en Parque Madrid Rio que todos los madrileños y turistas disfrutan y escasez de servicios esenciales como la limpieza en sus calles adyacentes como Antonio López, donde hay un hotel de 4 estrellas, numerosos negocios de hostelería y comercio y residen tantos vecinos como yo que el fin de semana paseamos entre basura al salir del portal.",0,0,0
43,17486,-1,19,1,10937,,2015-09-15,0 days 14:51:07,"Totalmente de acuerdo, pero lo que más me indigna es que se podría unir con algo tan sencillo como abrir el campo del moro al público y los jardines de sabatino es decir que dejen de existir vallas y que se conecten esas zonas verdes Madrid río, casa campo, campo del moro y jardines de sabatini y sea para todos a todas horas.",5,5,0
44,17534,-1,7,1,10954,,2015-09-15,0 days 15:21:35,"No olviden el problema de limpieza que tenemos en barrios como Villaverde. La limpieza no es suficiente, horas después está nuevamente sucia. En este caso principalmente por las personas que rebuscan en las bolsas de la basura. Propongo, además de un plan de información y ayuda para estas personas que por diferentes motivos buscan en la basura y que los contenedores se soterren en todo Madrid. Además multas disuasorias o trabajos de limpieza para aquellas personas que arrojen basura de cualquier tipo al suelo.",4,4,0
45,17535,-1,89,1,11058,,2015-09-15,0 days 15:26:13,El servicio de recogida de enseres sigue existiendo llamando al 010 donde toman nota de la solicitud.,5,5,0
46,17593,-1,7,9,11217,,2015-09-15,0 days 16:04:18,"Una parte del problema es que hay que limpiar, otra parte es que hay que no ensuciar, Madrid esta sucio porque la gente es bastante irrespetuosa, deja la basura a las 9 de la mañana en los árboles o al lado de las papeleras, tiran muebles en la acera, doblar una caja de cartón para meterla en un contenedor parece que es algo muy complicado El primer paso para que todo este más limpio es que no se ensucie.",4,2,2
47,17607,17472,7,9,10310,,2015-09-15,0 days 16:18:38,Pues les ha cundido poco. Siguen estando hechas un asco.,4,4,0
48,17615,17239,7,2,10310,,2015-09-15,0 days 16:23:26,"Aquí la educación no basta. La gente solo aprende a golpe de multa. Cuando le dices a algún dueño de un perro que recoja la caca de su perro, encima se encaran, te insultan y casi te agreden. Si les multaran con 2000 pavos cuando les vieran, se acabaria con la mala educación.",3,3,0
49,17620,17135,7,3,10310,,2015-09-15,0 days 16:26:42,"Marta g tu hace mucho que no paseas por Madrid no? Papeleras que rebosan basura, calles llenas de hojas, colillas, cacas de perro, bolsas. La medida concreta es que haya más personal que deje las aceras y Madrid limpio. Así de sencillo, escoba y recogedor en mano. Y que los camiones de basura pasen con más frecuencia y no tres veces a la semana, porque la basura se acumula y empiezan los olores, ratas, etc.",2,2,0
50,17626,-1,7,8,11222,,2015-09-15,0 days 16:31:14,"Lo ideal es que no se manche, pero lo necesario es que se limpie. Culpar al ciudadano es lo habitual, pero pongo un simil para que se entienda. Si entras en un bar con el suelo lleno de servilletas sucias yo no entro la tendencia es a tirar la servilletas, es un acto inconsciente. Si el bar está limpio buscarás la papelera.",0,0,0
51,17629,-1,7,1,11222,,2015-09-15,0 days 16:31:57,"Lo ideal es que no se manche, pero lo necesario es que se limpie. Culpar al ciudadano es lo habitual, pero pongo un simil para que se entienda. Si entras en un bar con el suelo lleno de servilletas sucias yo no entro la tendencia es a tirar la servilletas, es un acto inconsciente. Si el bar está limpio buscarás la papelera.",5,4,1
52,17631,-1,86,1,10136,,2015-09-15,0 days 16:33:38,"Es una propuesta muy interesante. En otros Ayuntamientos ya está operativo. Cuanto más cerca de las viviendas se coloque más cultura de reciclaje habrá. Os paso un link del Ayuntamiento de Zaragoza. Serían contenedores que se podrían poner junto a los orgánicos, papel o vidrio. Cuidemos Madrid.",3,3,0
53,17669,-1,86,2,11518,,2015-09-15,0 days 16:52:51,"Totalmente de acuerdo, que pongan un contenedor de reciclaje de aceite al lado de los contenedores de vidrio y papel que ya tenemos en Madrid, como ya hay en muchas otras provincias.",1,1,0
54,17713,-1,50,1,10662,,2015-09-15,0 days 17:13:09,"Como expongo en otro debate, creo que algo sencillo y barato sería pintar este ciclocarril de otro color y añadir bandas sonoras delimitándolo. Que los conductores distingan el carril como diferente sin segregarlo. Más control policial y multas, también vendría bien, por supuesto.",12,10,2
55,17767,-1,19,1,11756,,2015-09-15,0 days 17:41:41,"100 de acuerdo! La idea del campo del Moro me parece muy buena, ojalá fuera realizable!.",1,1,0
56,17773,-1,86,1,11775,,2015-09-15,0 days 17:43:37,QEn Pais Vasco tienen este sistema en el que se intercambia el bote de aceite lleno por otro vacío y que funciona de forma muy eficiente como ejemplo sobre lo que puede valorarse para hacer.,4,4,0
57,17774,-1,86,1,2923,,2015-09-15,0 days 17:44:37,"Me has copiado la idea que comencé yo hace una semana, pero no pasa nada, mientras se consiga pues genial. Lo único que te aconsejo es que edites la petición e incluyas como petición que es imprescindible que para que se haga una recogida de aceite de la forma más óptima desde el primer día, que sean necesarios 10 contenedores como mínimo en cada distrito, gracias.",6,6,0
58,17834,17535,89,1,11898,,2015-09-15,0 days 18:11:44,"Una cosa es que tomen nota, que supongo que lo hacen, y otra muy distinta que aparezcan. Y además el 010 es de pago.",2,1,1
59,17844,-1,7,8,2546,,2015-09-15,0 days 18:17:15,"Hola, en mi opinión no me parece una prioridad a día de hoy. Creo que la ciudadanía deberíamos volcarnos más en acciones que realmente supongan un beneficio inmediato para los habitantes de Madrid. La limpieza es importante pero no prioritaria, por tanto no apoyaré esta propuesta porque no lo veo prioritario.",7,0,7
60,17854,-1,86,2,11871,,2015-09-15,0 days 18:23:14,Hace poco descubri que tengo un punto limpio movil en la calle paralela donde vivo. Pero no me sirve de mucho o de nada porque es un día a la semana y a una hora en la que ya me he tenido que ir a trabajar. No estaría mal dejar un contenedor para ello que suelen ser más pequeños que los de vidrio o papel cercanos a estaciones de metro en los barrios o a los colegios.,1,1,0
61,17858,-1,7,2,11950,,2015-09-15,0 days 18:24:53,"Hasta el centro esta sucio, la periferia Valdebernardo ya da asco. La basura algún día ni la recogen, basura fuera de los contenedores días y días. ¿Qué está pasando?.",2,2,0
62,17886,-1,72,3,11871,,2015-09-15,0 days 18:39:38,"Desde luego. No respetan ni a los muertos el 1 de noviembre No se que sentido tiene ir a pasar tu tiempo libre de domingo o festivo a un centro comercial cuando el resto de la semana lo has tenido abierto hasta las 10 de la noche y has podido hacer tus compras. Cada uno puede emplear su tiempo libre como quiera pero a esto es que no le veo la gracia. En lugar de estar paseando, fomentando la cultura en un museo, en el cine, teatro, . No he trabajado en este sector nunca aunque tengo familiares en él. Y apoyo esta propuesta tanto para el pequeño comercio que ha tenido que abrir como para las grandes superficies. Que cierren los domingos, pero los del centro de Madrid y los que no esten en el centro.",2,1,1
63,17888,-1,50,1,11999,,2015-09-15,0 days 18:40:21,"Es completamente inconcebible, que la calle más ancha de toda España, no disponga de carril bicicleta, espacio para ponerlo hay Espero que con el aumento de ciclistas en la ciudad se instale este carril que lleva años siendo demandado por las asociaciones ciclistas. Una pena que con la remodelación del tramo de recoletos, Cibeles-plaza Colón. Realizada en 2010 finalmente no se instalará, aun estando prevista su instalación. Solamente espero que si se retoma la remodelación del paseo del Prado se tenga en cuenta con carril bicicleta. El tramo desde Colon hasta plaza Castilla debería ser el carril más prioritario de la ciudad.",12,9,3
64,17923,17472,7,9,11950,,2015-09-15,0 days 19:04:07,¿De qué sirve limpiar a fondo un tiempo si después se deja de limpiar?.,1,1,0
65,17936,17710,50,6,12086,,2015-09-15,0 days 19:14:33,"Cierto. Además de que llevar vehículos más rápidos detrás de ti todo el rato genera una sensación de agobio que te hace ir forzado, más rápido de lo que irías si no llevases eso vehículos detrás. Por otro lado, nunca dejaría ir a mis hijos pequeños por este ciclocarril de la Castellana y nunca he visto a ningún niño ni anciano por ellos. Parece una medida poco práctica para fomentar el uso de la bicicleta entre la ciudadanía en general.",5,3,2
66,17937,-1,89,1,2631,,2015-09-15,0 days 19:14:38,"He visto en mi barrio y otras zonas que se han creado espacios para recogida de enseres, una zona de aparcamiento para camiones de recogida en días y horarios específicos. Igual que los espacios de bibliobus, pero pista recogida de enseres. Sería interesante informarse al respecto, no se su es lo que proponer, pero su es así, entiendo que ya lo han gestionado.",1,1,0
67,17957,17844,7,8,65,,2015-09-15,0 days 19:24:15,¡¿Qué no es prioritario la limpieza de una ciudad? !.,3,3,0
